article_id,published_date,publisher,linked_ticker_count,linked_tickers,industry_bucket,broad_article_bucket,article_type,ticker_count_bucket,stratum_initial,stratum,stratum_reason,title,summary,legacy_stratum,legacy_stratum_reason,industry_groups,industry_labels,industry_bucket_reason,article_type_reason,broad_article_bucket_reason,ticker_count_bucket_reason,stratum_stage_one,stratum_collapse_reason,max_strata_collapse_steps,flag_multi_ticker,flag_cross_industry_links,flag_company_specific_shape,flag_industry_wide_shape,flag_earnings,flag_analyst,flag_legal,flag_macro,flag_investment_advice,flag_etf_fund,flag_market_roundup,flag_product_or_technology,flag_partnership_or_contract,flag_management,flag_mna_or_investment,flag_industry_language,flag_autos_ev,flag_semiconductors_ai,flag_airlines_travel,flag_banks_finance,flag_big_tech_cloud,flag_has_summary
e7b9ad10a6b1837936e95f273339fd129f34d825a1c93dc6b7a99dbf1685c5d7,2025-07-10,Yahoo,1,DAL,airlines_travel,analyst_or_earnings,earnings_guidance,single_ticker,airlines_travel__analyst_or_earnings,airlines_travel__analyst_or_earnings,mode=hybrid; industry=airlines_travel; broad_article_bucket=analyst_or_earnings; article_type=earnings_guidance; ticker_count_bucket=single_ticker; Initial stratum met the minimum size threshold.,Why Delta Air Lines Is Flying High Today,"Delta topped Wall Street expectations for the quarter and reinstated full-year guidance.  Delta Air Lines (NYSE: DAL) is feeling a lot more optimistic about the future than it was three months ago, and investors are rallying in.  Shares of Delta are up 13% as of 11 a.m. ET after the company reported better-than-expected earnings and reinstated guidance for the year.",investment_advice_etf_roundup_or_unclear,Advice/ETF/market-roundup language dominates the article text.,airlines,airlines_travel,Linked tickers map cleanly to one competitor group.,Earnings or guidance language is present.,Detailed article type maps into the broad analyst-or-earnings bucket.,Article links to a single tracked ticker.,airlines_travel__analyst_or_earnings,Initial stratum met the minimum size threshold.,macro_market__macro_policy -> macro_market__other_unclear; macro_market__other_unclear -> other_unclear__other_unclear; other_unclear__firm_event -> other_unclear__other_unclear; big_tech_cloud__other_unclear -> other_unclear__other_unclear; other_unclear__analyst_or_earnings -> other_unclear__other_unclear; semiconductors_ai__other_unclear -> other_unclear__other_unclear,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
0f4974200cf358b81db35bacfcf13f0a849ed422ba91f3b9b39e44586e15a7a8,2025-07-30,Yahoo,1,DAL,airlines_travel,analyst_or_earnings,earnings_guidance,single_ticker,airlines_travel__analyst_or_earnings,airlines_travel__analyst_or_earnings,mode=hybrid; industry=airlines_travel; broad_article_bucket=analyst_or_earnings; article_type=earnings_guidance; ticker_count_bucket=single_ticker; Initial stratum met the minimum size threshold.,"Ryder Q2 Earnings & Revenues Beat Estimates, 2025 EPS View Tweaked",R's second-quarter 2025 earnings reflect higher contractual earnings and share repurchases.,firm_specific_earnings_or_guidance,Earnings or guidance language appears tied to one or two linked firms.,airlines,airlines_travel,Linked tickers map cleanly to one competitor group.,Earnings or guidance language is present.,Detailed article type maps into the broad analyst-or-earnings bucket.,Article links to a single tracked ticker.,airlines_travel__analyst_or_earnings,Initial stratum met the minimum size threshold.,macro_market__macro_policy -> macro_market__other_unclear; macro_market__other_unclear -> other_unclear__other_unclear; other_unclear__firm_event -> other_unclear__other_unclear; big_tech_cloud__other_unclear -> other_unclear__other_unclear; other_unclear__analyst_or_earnings -> other_unclear__other_unclear; semiconductors_ai__other_unclear -> other_unclear__other_unclear,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
d96b9715c17d2090f83e29c19eb9e363f60e7e0cf41c60a9c4287920b0ec5b72,2025-08-15,Yahoo,2,DAL;UAL,airlines_travel,analyst_or_earnings,earnings_guidance,multi_ticker,airlines_travel__analyst_or_earnings,airlines_travel__analyst_or_earnings,mode=hybrid; industry=airlines_travel; broad_article_bucket=analyst_or_earnings; article_type=earnings_guidance; ticker_count_bucket=multi_ticker; Initial stratum met the minimum size threshold.,United (UAL) Up 8.7% Since Last Earnings Report: Can It Continue?,United (UAL) reported earnings 30 days ago. What's next for the stock? We take a look at earnings estimates for some clues.,firm_specific_earnings_or_guidance,Earnings or guidance language appears tied to one or two linked firms.,airlines,airlines_travel,Linked tickers map cleanly to one competitor group.,Earnings or guidance language is present.,Detailed article type maps into the broad analyst-or-earnings bucket.,Article links to multiple tracked tickers.,airlines_travel__analyst_or_earnings,Initial stratum met the minimum size threshold.,macro_market__macro_policy -> macro_market__other_unclear; macro_market__other_unclear -> other_unclear__other_unclear; other_unclear__firm_event -> other_unclear__other_unclear; big_tech_cloud__other_unclear -> other_unclear__other_unclear; other_unclear__analyst_or_earnings -> other_unclear__other_unclear; semiconductors_ai__other_unclear -> other_unclear__other_unclear,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
5ab6a0eb7cbb5da98e22c3e6461be3333ad40727a5d51de3b05db68fd04f0afa,2025-09-09,Yahoo,1,LUV,airlines_travel,analyst_or_earnings,earnings_guidance,single_ticker,airlines_travel__analyst_or_earnings,airlines_travel__analyst_or_earnings,mode=hybrid; industry=airlines_travel; broad_article_bucket=analyst_or_earnings; article_type=earnings_guidance; ticker_count_bucket=single_ticker; Initial stratum met the minimum size threshold.,"Southwest Airlines would need different aircraft if launching flights to Europe, CEO says","U.S. low-cost carrier Southwest Airlines would need different aircraft if it were to launch flights to Europe, CEO Bob Jordan told a Washington D.C. gathering of aerospace executives on Tuesday. Southwest, which operates mostly domestic flights with a fleet of Boeing 737 jets, has been struggling to find its footing after the COVID pandemic. Its lackluster earnings have fueled pressure to revamp its business model.",firm_specific_earnings_or_guidance,Earnings or guidance language appears tied to one or two linked firms.,airlines,airlines_travel,Linked tickers map cleanly to one competitor group.,Earnings or guidance language is present.,Detailed article type maps into the broad analyst-or-earnings bucket.,Article links to a single tracked ticker.,airlines_travel__analyst_or_earnings,Initial stratum met the minimum size threshold.,macro_market__macro_policy -> macro_market__other_unclear; macro_market__other_unclear -> other_unclear__other_unclear; other_unclear__firm_event -> other_unclear__other_unclear; big_tech_cloud__other_unclear -> other_unclear__other_unclear; other_unclear__analyst_or_earnings -> other_unclear__other_unclear; semiconductors_ai__other_unclear -> other_unclear__other_unclear,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True
179179dd2b59796fa8e46a1962a145f60987aa6951d0c85a2a4ef841a8da0d3e,2025-10-23,Yahoo,1,AAL,airlines_travel,analyst_or_earnings,earnings_guidance,single_ticker,airlines_travel__analyst_or_earnings,airlines_travel__analyst_or_earnings,mode=hybrid; industry=airlines_travel; broad_article_bucket=analyst_or_earnings; article_type=earnings_guidance; ticker_count_bucket=single_ticker; Initial stratum met the minimum size threshold.,"American Airlines, Honeywell, Dow: Latest earnings in focus","Morning Brief host Julie Hyman tracks several of the day's top trending stock tickers, including American Airlines (AAL) reporting a loss in its third quarter while forecasting full-year profits, Honeywell (HON) also raising its full-year outlook after its earnings received a boost from its aerospace division, and Dow Inc. (DOW) sharing a narrower-than-expected loss in its latest quarter. To watch more expert insights and analysis on the latest market action, check out more Morning Brief.",firm_specific_earnings_or_guidance,Earnings or guidance language appears tied to one or two linked firms.,airlines,airlines_travel,Linked tickers map cleanly to one competitor group.,Earnings or guidance language is present.,Detailed article type maps into the broad analyst-or-earnings bucket.,Article links to a single tracked ticker.,airlines_travel__analyst_or_earnings,Initial stratum met the minimum size threshold.,macro_market__macro_policy -> macro_market__other_unclear; macro_market__other_unclear -> other_unclear__other_unclear; other_unclear__firm_event -> other_unclear__other_unclear; big_tech_cloud__other_unclear -> other_unclear__other_unclear; other_unclear__analyst_or_earnings -> other_unclear__other_unclear; semiconductors_ai__other_unclear -> other_unclear__other_unclear,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
fcc3327ec7b51a2e632a13f3cf0d9a78144031c7cd6a5e50b9fc8d87aa70eab6,2025-11-06,Benzinga,1,UAL,airlines_travel,analyst_or_earnings,earnings_guidance,single_ticker,airlines_travel__analyst_or_earnings,airlines_travel__analyst_or_earnings,mode=hybrid; industry=airlines_travel; broad_article_bucket=analyst_or_earnings; article_type=earnings_guidance; ticker_count_bucket=single_ticker; Initial stratum met the minimum size threshold.,"Lyft Remains A 'Show-Me' Story, Analysts Press For Execution","Lyft (LYFT) posts strong Q3 results, beats EPS, misses on revenue. JPM raises price forecast to $22 from $16, maintains Neutral rating.",firm_specific_earnings_or_guidance,Earnings or guidance language appears tied to one or two linked firms.,airlines,airlines_travel,Linked tickers map cleanly to one competitor group.,Earnings or guidance language is present.,Detailed article type maps into the broad analyst-or-earnings bucket.,Article links to a single tracked ticker.,airlines_travel__analyst_or_earnings,Initial stratum met the minimum size threshold.,macro_market__macro_policy -> macro_market__other_unclear; macro_market__other_unclear -> other_unclear__other_unclear; other_unclear__firm_event -> other_unclear__other_unclear; big_tech_cloud__other_unclear -> other_unclear__other_unclear; other_unclear__analyst_or_earnings -> other_unclear__other_unclear; semiconductors_ai__other_unclear -> other_unclear__other_unclear,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
4805aad6933d91c6ba56ea7c6df34a7227803c7cae2b2ff06ce9e05c1cc96059,2026-04-22,Yahoo,1,LUV,airlines_travel,analyst_or_earnings,earnings_guidance,single_ticker,airlines_travel__analyst_or_earnings,airlines_travel__analyst_or_earnings,mode=hybrid; industry=airlines_travel; broad_article_bucket=analyst_or_earnings; article_type=earnings_guidance; ticker_count_bucket=single_ticker; Initial stratum met the minimum size threshold.,"Compared to Estimates, Southwest (LUV) Q1 Earnings: A Look at Key Metrics","While the top- and bottom-line numbers for Southwest (LUV) give a sense of how the business performed in the quarter ended March 2026, it could be worth looking at how some of its key metrics compare to Wall Street estimates and year-ago values.",investment_advice_etf_roundup_or_unclear,Advice/ETF/market-roundup language dominates the article text.,airlines,airlines_travel,Linked tickers map cleanly to one competitor group.,Earnings or guidance language is present.,Detailed article type maps into the broad analyst-or-earnings bucket.,Article links to a single tracked ticker.,airlines_travel__analyst_or_earnings,Initial stratum met the minimum size threshold.,macro_market__macro_policy -> macro_market__other_unclear; macro_market__other_unclear -> other_unclear__other_unclear; other_unclear__firm_event -> other_unclear__other_unclear; big_tech_cloud__other_unclear -> other_unclear__other_unclear; other_unclear__analyst_or_earnings -> other_unclear__other_unclear; semiconductors_ai__other_unclear -> other_unclear__other_unclear,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
e63c67b8b9c9b0f9c60f2440f7827fd657060201d596b9257aae3113d1006517,2026-05-26,Yahoo,1,UAL,airlines_travel,analyst_or_earnings,analyst_valuation,single_ticker,airlines_travel__analyst_or_earnings,airlines_travel__analyst_or_earnings,mode=hybrid; industry=airlines_travel; broad_article_bucket=analyst_or_earnings; article_type=analyst_valuation; ticker_count_bucket=single_ticker; Initial stratum met the minimum size threshold.,A Look At United Airlines (UAL) Valuation As Shares Trade Near US$100 After Recent Momentum,"United Airlines Holdings (UAL) stock has drawn fresh attention after recent trading, with shares closing at US$99.96. Investors are weighing this price in relation to the company’s current fundamentals and recent return pattern. See our latest analysis for United Airlines Holdings. That recent move to US$99.96 comes after a 12.16% 7 day share price return and a 7.48% 30 day share price return, even though the share price is down 11.44% over 90 days. The 1 year total shareholder return of...",firm_specific_analyst_or_valuation,"Analyst, rating, or valuation language appears primarily firm-specific.",airlines,airlines_travel,Linked tickers map cleanly to one competitor group.,"Analyst, rating, or valuation language is present.",Detailed article type maps into the broad analyst-or-earnings bucket.,Article links to a single tracked ticker.,airlines_travel__analyst_or_earnings,Initial stratum met the minimum size threshold.,macro_market__macro_policy -> macro_market__other_unclear; macro_market__other_unclear -> other_unclear__other_unclear; other_unclear__firm_event -> other_unclear__other_unclear; big_tech_cloud__other_unclear -> other_unclear__other_unclear; other_unclear__analyst_or_earnings -> other_unclear__other_unclear; semiconductors_ai__other_unclear -> other_unclear__other_unclear,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
d3bf4ecfdffc9599a2bba19c02118db109604cc50e172f33321530284a5062a1,2025-10-20,Yahoo,1,UAL,airlines_travel,firm_event,product_strategy,single_ticker,airlines_travel__firm_event,airlines_travel__firm_event,mode=hybrid; industry=airlines_travel; broad_article_bucket=firm_event; article_type=product_strategy; ticker_count_bucket=single_ticker; Initial stratum met the minimum size threshold.,"Amazon Web Services Outage Persists, Hindering Major Sites and Apps","A major  Amazon  Web Services outage threw much of the internet into disarray on Monday as popular websites and social-media platforms struggled to recover.  The world’s largest cloud provider said in an update at 1:38 p.m. Eastern time that it was seeing “early signs of recovering” across a few availability zones in the Eastern U.S., adding that it was in the process of “applying mitigations…at which point we expect launch errors and network connectivity issues to subside.”  AWS said in an earlier update that it had narrowed down the source of the network connectivity issues.",firm_specific_product_or_strategy,"The article looks focused on one firm's product, strategy, contract, management, or deal activity.",airlines,airlines_travel,Linked tickers map cleanly to one competitor group.,"Product, strategy, contract, management, or firm-specific execution language is present.",Detailed article type maps into the broad firm-event bucket.,Article links to a single tracked ticker.,airlines_travel__firm_event,Initial stratum met the minimum size threshold.,macro_market__macro_policy -> macro_market__other_unclear; macro_market__other_unclear -> other_unclear__other_unclear; other_unclear__firm_event -> other_unclear__other_unclear; big_tech_cloud__other_unclear -> other_unclear__other_unclear; other_unclear__analyst_or_earnings -> other_unclear__other_unclear; semiconductors_ai__other_unclear -> other_unclear__other_unclear,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True
1cda02614c98dc148c9f18866b1a05702c52ab448ea2b7adb06c27e36da14b95,2026-01-13,Benzinga,1,DAL,airlines_travel,firm_event,product_strategy,single_ticker,airlines_travel__firm_event,airlines_travel__firm_event,mode=hybrid; industry=airlines_travel; broad_article_bucket=firm_event; article_type=product_strategy; ticker_count_bucket=single_ticker; Initial stratum met the minimum size threshold.,Why Boeing Shares Are Surging On Tuesday?,"Boeing achieves 600 commercial and 131 defense aircraft deliveries in 2025, including Apache, Chinook, F-15, and F/A-18 units, highlighting robust production and market demand.",firm_specific_product_or_strategy,"The article looks focused on one firm's product, strategy, contract, management, or deal activity.",airlines,airlines_travel,Linked tickers map cleanly to one competitor group.,"Product, strategy, contract, management, or firm-specific execution language is present.",Detailed article type maps into the broad firm-event bucket.,Article links to a single tracked ticker.,airlines_travel__firm_event,Initial stratum met the minimum size threshold.,macro_market__macro_policy -> macro_market__other_unclear; macro_market__other_unclear -> other_unclear__other_unclear; other_unclear__firm_event -> other_unclear__other_unclear; big_tech_cloud__other_unclear -> other_unclear__other_unclear; other_unclear__analyst_or_earnings -> other_unclear__other_unclear; semiconductors_ai__other_unclear -> other_unclear__other_unclear,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
